"CON.3";"G 0.02";"G 0.04";"G 0.14";"G 0.18";"G 0.19";"G 0.22";"G 0.25";"G 0.26";"G 0.28";"G 0.29";"G 0.31";"G 0.45";"G 0.46"
"CON.3.A01";;;X;;X;;X;;;X;;X;X
"CON.3.A02";;;;X;;;;;;;;;
"CON.3.A03";;;X;;X;;X;;;X;;X;X
"CON.3.A04";;;;X;;;;;;;;;
"CON.3.A05";;;;X;;X;;;;;;;
"CON.3.A06";;;;X;;;;;;;;;
"CON.3.A07";;;;;;;;;;X;;;
"CON.3.A08";;;;;;;X;X;X;;;;
"CON.3.A09";;;;X;;;X;X;;;X;X;
"CON.3.A10";;;;X;;;;;;;;X;X
"CON.3.A11";;;;;;;;;;X;;X;
"CON.3.A12";X;X;;;;X;X;;;;;X;
"CON.3.A13";;;;X;;X;;;;;;X;