"INF.4";"G 0.01";"G 0.02";"G 0.09";"G 0.12";"G 0.15";"G 0.18";"G 0.20";"G 0.21";"G 0.25";"G 0.26";"G 0.27";"G 0.29";"G 0.37";"G 0.41"
"INF.4.A01";;;X;X;;X;X;;X;X;X;;;
"INF.4.A02";X;X;X;X;;X;;X;X;X;;X;;X
"INF.4.A03";X;;X;;X;;;X;X;X;;X;X;X
"INF.4.A04";X;;X;;;;;;X;X;;;;X
"INF.4.A05";;X;;;;X;X;X;X;X;X;X;;X
"INF.4.A06";X;;;;;;;X;X;X;;X;X;X
"INF.4.A07";;;;;;X;;;;;;;X;
"INF.4.A08";;;;;X;;;X;;;;;;
"INF.4.A09";;;;;X;X;;;;;;;X;
"INF.4.A10";;;;;X;;;;;;;;;
"INF.4.A11";;;X;X;;;;X;X;X;;;;
"INF.4.A12";X;;X;;;;;;X;X;X;;;X
"INF.4.A13";;;X;;X;;;X;X;;;;;X
"INF.4.A14";;;X;X;;;;;X;X;;;;
"INF.4.A15";;;;;X;;;X;X;;;;;X