"OPS.1.1.3";"G 0.09";"G 0.18";"G 0.19";"G 0.20";"G 0.23";"G 0.25";"G 0.26";"G 0.27";"G 0.28";"G 0.33";"G 0.37";"G 0.39";"G 0.40";"G 0.45";"G 0.46"
"OPS.1.1.3.A01";;X;;;;;;;;;;;;;
"OPS.1.1.3.A02";;X;;;;;;X;;X;X;;;;
"OPS.1.1.3.A03";X;;X;X;X;X;X;;X;;;X;X;;X
"OPS.1.1.3.A04";;X;;;;;;;;;;;;;
"OPS.1.1.3.A05";;X;;X;;X;X;X;;;X;;;;
"OPS.1.1.3.A06";;X;;;;X;X;X;;X;X;;;;
"OPS.1.1.3.A07";;X;;;;X;X;X;;X;X;;;;
"OPS.1.1.3.A08";X;;X;X;X;X;X;X;X;;;X;X;X;X
"OPS.1.1.3.A09";X;;;;;X;X;;X;;;;;;
"OPS.1.1.3.A10";;;X;X;X;;;;X;;;X;X;;X
"OPS.1.1.3.A11";;X;;;;;;;;;X;;;;
"OPS.1.1.3.A12";;X;;;;X;X;X;;X;;;;;
"OPS.1.1.3.A13";;X;;;;;;;;;;;;;
"OPS.1.1.3.A14";;X;;;;;;X;;;;;;;