"SYS.3.1";"G 0.04";"G 0.14";"G 0.16";"G 0.17";"G 0.19";"G 0.22";"G 0.39";"G 0.45"
"SYS.3.1.A01";X;X;X;X;X;X;X;X
"SYS.3.1.A02";;X;;;X;X;;
"SYS.3.1.A03";;X;;;X;;X;
"SYS.3.1.A04";;X;;;X;;;
"SYS.3.1.A05";;;;X;;;;X
"SYS.3.1.A06";X;X;X;X;X;X;X;X
"SYS.3.1.A07";;X;;;X;;;
"SYS.3.1.A08";;X;;;X;;X;
"SYS.3.1.A09";;X;;;X;;X;
"SYS.3.1.A10";;;;;;;;X
"SYS.3.1.A11";;;;;;;;X
"SYS.3.1.A12";;X;;;X;;;
"SYS.3.1.A13";;X;;;X;X;;
"SYS.3.1.A14";X;X;X;X;X;X;;
"SYS.3.1.A15";;;X;;X;;;
"SYS.3.1.A16";;;;;;;X;
"SYS.3.1.A17";X;;;X;;;;
"SYS.3.1.A18";;;X;X;X;;;